,State,County,Tract,Number of families,Number of families below poverty line,Vacancy,Coastal Flooding Risk Score,Percent below poverty line,Family median income,Housing Cost,At Risk
72,Florida,Bay,8.06,978,25.0,325,92.66641183858462,2.5,76272.0,1344.0,0
73,Florida,Bay,9,1072,50.0,343,86.66248020531863,4.6,73400.0,1109.0,0
74,Florida,Bay,10,486,17.0,125,75.39179817615901,3.3,58750.0,848.0,0
75,Florida,Bay,11,1208,165.0,195,75.28258614099273,13.6,60220.0,992.0,0
76,Florida,Bay,12,662,57.0,91,0.0,8.6,54808.0,1031.0,0
77,Florida,Bay,13.01,1404,36.0,345,79.98143395402172,2.5,105386.0,1360.0,0
78,Florida,Bay,13.02,1747,229.0,432,73.81641456888549,13.1,67330.0,1024.0,0
79,Florida,Bay,14.02,2180,112.0,295,85.12805111123247,5.1,106944.0,1398.0,0
80,Florida,Bay,14.03,476,36.0,77,89.66035057063289,7.4,94302.0,1264.0,0
81,Florida,Bay,14.04,2313,137.0,196,89.93884126030687,5.9,77454.0,1370.0,0
82,Florida,Bay,15.01,1560,96.0,168,88.90678752798559,6.1,93553.0,1409.0,0
83,Florida,Bay,15.02,1479,60.0,188,76.87162125266205,4.0,80689.0,1355.0,0
84,Florida,Bay,16,518,227.0,288,82.33222301097581,43.8,39712.0,894.0,1
85,Florida,Bay,17,701,254.0,123,79.15688308851635,36.1,45469.0,970.0,0
86,Florida,Bay,18,265,61.0,79,80.22989133402501,23.0,55771.0,696.0,1
87,Florida,Bay,19,1020,55.0,172,86.62425599301044,5.3,100575.0,1387.0,0
88,Florida,Bay,20,282,54.0,172,83.15950417736033,19.1,44688.0,778.0,1
89,Florida,Bay,22,879,140.0,102,83.59362201714627,15.9,46250.0,994.0,1
90,Florida,Bay,23,872,73.0,230,82.54791678,8.3,78409.0,1052.0,0
91,Florida,Bay,24,831,182.0,191,85.78332332223009,21.9,47311.0,1123.0,1
92,Florida,Bay,25,759,22.0,230,88.85218151040243,2.8,125893.0,1417.0,0
93,Florida,Bay,26.04,2096,74.0,585,86.61333478949379,3.5,63672.0,1217.0,0
94,Florida,Bay,26.05,617,49.0,1115,83.21957079670179,7.8,89271.0,1296.0,0
95,Florida,Bay,26.06,461,7.0,1741,82.38136842680062,1.5,95694.0,1297.0,0
96,Florida,Bay,26.07,359,26.0,1832,82.40594113471305,7.0,86806.0,928.0,0
97,Florida,Bay,26.08,1214,8.0,553,88.51635450226614,0.6,134595.0,1609.0,0
98,Florida,Bay,26.09,1519,113.0,478,92.10670015835744,7.4,89961.0,1373.0,0
99,Florida,Bay,27.03,952,46.0,1952,76.97264238519085,4.8,112639.0,1626.0,0
100,Florida,Bay,27.06,753,65.0,146,77.48320864959318,8.5,73750.0,1232.0,0
101,Florida,Bay,27.07,934,28.0,2035,78.5835199,2.9,105167.0,1037.0,0
102,Florida,Bay,27.08,283,0.0,743,72.63146398733139,0.0,133194.0,923.0,0
103,Florida,Bay,27.09,844,0.0,2703,78.07022333861191,0.0,67371.0,1105.0,0
104,Florida,Bay,27.10,1682,93.0,1762,77.25932397750232,5.5,70265.0,1558.0,0
105,Florida,Bay,27.11,945,52.0,914,74.47168677988314,5.4,119432.0,1500.0,0
106,Florida,Bay,27.12,446,22.0,200,75.35630426472999,4.9,81250.0,1722.0,0
107,Florida,Bay,27.13,325,21.0,5041,82.19843827,6.2,72375.0,1446.0,0
108,Florida,Bradford,1,1487,231.0,460,0.0,15.5,60689.0,820.0,0
109,Florida,Bradford,2.01,715,86.0,154,0.0,12.0,73036.0,427.0,0
110,Florida,Bradford,2.02,736,14.0,215,0.0,1.9,69167.0,762.0,0
111,Florida,Bradford,3.01,1016,82.0,505,0.0,8.0,81500.0,776.0,0
112,Florida,Bradford,3.02,925,124.0,200,0.0,13.4,66811.0,996.0,0
113,Florida,Brevard,4,1166,126.0,170,87.80374597280621,10.8,67635.0,921.0,0
114,Florida,Brevard,601.03,662,51.0,479,84.42909409,7.7,101667.0,789.0,0
115,Florida,Brevard,601.04,524,76.0,40,85.56762955277671,14.5,48887.0,464.0,1
116,Florida,Brevard,601.05,693,41.0,298,86.97100420466334,5.8,69918.0,358.0,0
117,Florida,Brevard,601.06,481,42.0,32,0.0,8.7,93375.0,1059.0,0
118,Florida,Brevard,602.01,741,0.0,256,0.0,0.0,97361.0,1056.0,0
119,Florida,Brevard,602.02,855,85.0,145,81.45033582700813,9.9,118015.0,1393.0,0
120,Florida,Brevard,603.01,527,93.0,117,79.80396439687654,17.6,74013.0,1101.0,0
121,Florida,Brevard,603.02,676,59.0,129,89.81324741986566,8.6,74449.0,467.0,0
122,Florida,Brevard,604,930,118.0,475,88.98869655436029,12.6,65000.0,735.0,1
123,Florida,Brevard,605,1370,65.0,201,84.98061486375798,4.7,76184.0,948.0,0
124,Florida,Brevard,606,1243,66.0,361,0.0,5.3,78516.0,1016.0,0
125,Florida,Brevard,607,600,173.0,427,77.30846939332713,28.7,35237.0,904.0,0
126,Florida,Brevard,610.01,1612,36.0,576,71.19259542401572,2.2,56099.0,1294.0,0
127,Florida,Brevard,610.02,704,38.0,219,89.31906296073825,5.3,82024.0,894.0,0
128,Florida,Brevard,611,1491,103.0,737,93.05411456342487,6.9,90645.0,1058.0,0
129,Florida,Brevard,612.01,2052,152.0,571,92.33877573308578,7.4,94839.0,1217.0,0
130,Florida,Brevard,612.02,909,40.0,361,86.83721946158465,4.3,99803.0,1204.0,0
131,Florida,Brevard,621.06,643,42.0,386,82.02369901163107,6.5,57958.0,1023.0,0
132,Florida,Brevard,621.08,2205,358.0,249,70.60285043411784,16.2,81514.0,1329.0,0
133,Florida,Brevard,621.09,879,35.0,116,0.0,3.9,70694.0,935.0,0
134,Florida,Brevard,621.10,933,23.0,70,0.0,2.4,77434.0,1010.0,0
135,Florida,Brevard,621.11,898,89.0,195,95.67520341,9.9,88958.0,1213.0,0
136,Florida,Brevard,621.12,327,22.0,90,0.0,6.7,110208.0,1260.0,0
137,Florida,Brevard,621.13,1447,21.0,348,84.26800633429804,1.4,96274.0,1135.0,0
138,Florida,Brevard,621.14,417,81.0,276,0.0,19.4,48125.0,772.0,0
139,Florida,Brevard,621.15,665,141.0,57,0.0,21.1,66069.0,1292.0,0
140,Florida,Brevard,623.01,735,191.0,550,0.0,25.9,44450.0,811.0,0
141,Florida,Brevard,623.02,674,21.0,426,0.0,3.1,49746.0,840.0,0
142,Florida,Brevard,624.01,388,6.0,82,0.0,1.5,54231.0,958.0,0
143,Florida,Brevard,624.02,933,233.0,288,0.0,24.9,53360.0,1077.0,0
144,Florida,Brevard,625,958,229.0,478,0.0,23.8,53250.0,759.0,0
145,Florida,Brevard,626,706,0.0,483,97.81302899579532,0.0,55741.0,907.0,0
146,Florida,Brevard,628,1133,11.0,391,82.64620761207885,0.9,88688.0,1224.0,0
147,Florida,Brevard,629,1713,115.0,348,0.0,6.7,76592.0,1234.0,0
148,Florida,Brevard,630,1138,18.0,409,81.96363239228961,1.5,97891.0,1570.0,0
149,Florida,Brevard,631.02,1976,56.0,772,90.51220444492984,2.8,96695.0,1347.0,0
150,Florida,Brevard,631.04,1070,44.0,139,80.14525200677113,4.1,109409.0,1412.0,0
151,Florida,Brevard,631.05,2372,136.0,425,0.0,5.7,93641.0,1368.0,0
152,Florida,Brevard,631.06,1365,10.0,116,0.0,0.7,113149.0,1778.0,0
153,Florida,Brevard,631.08,1824,57.0,151,88.31704253808769,3.1,121928.0,890.0,0
154,Florida,Brevard,631.09,1343,42.0,353,0.0,3.1,92574.0,1333.0,0
155,Florida,Brevard,641.02,1709,79.0,86,0.0,4.6,140083.0,1609.0,0
156,Florida,Brevard,641.23,1351,114.0,495,87.64538852181511,8.4,63942.0,1378.0,0
157,Florida,Brevard,641.24,1182,123.0,119,0.0,10.4,64301.0,1155.0,0
158,Florida,Brevard,641.26,1124,33.0,60,93.87593512805113,2.9,92344.0,1271.0,0
159,Florida,Brevard,641.27,2766,48.0,455,0.0,1.7,127600.0,1690.0,0
160,Florida,Brevard,641.28,2937,118.0,274,0.0,4.0,142371.0,1505.0,0
161,Florida,Brevard,641.29,746,19.0,42,78.35963523180254,2.5,110101.0,1477.0,0
162,Florida,Brevard,641.30,846,61.0,59,94.09435919838364,7.1,85238.0,1288.0,0
163,Florida,Brevard,642.01,574,36.0,186,93.73395948233495,6.1,83587.0,1081.0,0
164,Florida,Brevard,642.02,694,143.0,229,83.68099164527929,20.6,36739.0,1079.0,1
165,Florida,Brevard,643.01,1226,191.0,430,90.9435919838366,15.5,69180.0,1197.0,1
166,Florida,Brevard,643.02,1371,154.0,227,72.53863375744007,11.2,70221.0,1205.0,0
167,Florida,Brevard,644,1389,32.0,178,78.23404139136133,2.3,86219.0,1011.0,0
168,Florida,Brevard,645,807,43.0,224,0.0,5.3,68631.0,970.0,0
169,Florida,Brevard,646.01,2008,75.0,312,0.0,3.7,92292.0,1102.0,0
170,Florida,Brevard,646.02,519,76.0,146,78.55075629334353,14.6,78618.0,1104.0,0
171,Florida,Brevard,647.01,718,133.0,259,72.75432752689346,18.5,63000.0,1000.0,0
172,Florida,Brevard,647.02,278,41.0,551,95.31753399224596,14.7,52292.0,765.0,1
173,Florida,Brevard,648,646,137.0,258,84.65843936001747,21.2,65114.0,1053.0,1
174,Florida,Brevard,649.01,1437,75.0,189,95.83629115928576,5.2,67808.0,1243.0,0
175,Florida,Brevard,649.02,749,161.0,208,0.0,21.4,57725.0,962.0,0
176,Florida,Brevard,650.01,928,14.0,44,0.0,1.5,138696.0,1545.0,0
177,Florida,Brevard,650.22,1338,18.0,237,0.0,1.3,93451.0,1432.0,0
178,Florida,Brevard,650.23,950,140.0,420,0.0,14.7,107720.0,1254.0,0
179,Florida,Brevard,650.24,1925,0.0,151,0.0,0.0,94491.0,1427.0,0
180,Florida,Brevard,650.25,319,0.0,0,94.93802217004314,0.0,105884.0,1376.0,0
181,Florida,Brevard,651.23,799,136.0,605,0.0,17.0,84663.0,763.0,0
182,Florida,Brevard,651.24,574,69.0,280,0.0,12.0,49150.0,970.0,0
183,Florida,Brevard,651.26,760,163.0,173,0.0,21.4,44338.0,1186.0,0
184,Florida,Brevard,651.27,1218,103.0,220,0.0,8.4,108023.0,1508.0,0
185,Florida,Brevard,651.28,785,233.0,290,85.02702997870365,29.6,36338.0,1161.0,1
186,Florida,Brevard,651.29,1147,75.0,197,70.41172937257686,6.5,67781.0,1002.0,0
